,0,1,2
72,Jan 29 13:09:02 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=44084 DF PROTO=TCP SPT=57059 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026614690000000001030300) 
73,Jan 29 13:09:05 myth sshd[11944]: Invalid user sanderson from ,220.195.35.40,
74,Jan 29 13:09:09 myth sshd[11946]: Invalid user courier from ,220.195.35.40,
75,Jan 29 13:09:13 myth sshd[11948]: Invalid user duane from ,220.195.35.40,
76,Jan 29 13:09:18 myth sshd[11950]: Invalid user erin from ,220.195.35.40,
77,Jan 29 13:09:22 myth sshd[11952]: Invalid user exim from ,220.195.35.40,
78,Jan 29 13:09:23 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=10132 DF PROTO=TCP SPT=43041 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02661CAD0000000001030300) 
79,Jan 29 13:09:26 myth sshd[11954]: Invalid user greg from ,220.195.35.40,
80,Jan 29 13:09:30 myth sshd[11956]: Invalid user rodney from ,220.195.35.40,
81,Jan 29 13:09:34 myth sshd[11958]: Invalid user ryan from ,220.195.35.40,
82,Jan 29 13:09:38 myth sshd[11961]: Invalid user testguy from ,220.195.35.40,
83,Jan 29 13:09:42 myth sshd[11963]: Invalid user whitecanyon from ,220.195.35.40,
84,Jan 29 13:09:43 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=33440 DF PROTO=TCP SPT=55903 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026624650000000001030300) 
85,Jan 29 13:09:46 myth sshd[11965]: Invalid user fabrice from ,220.195.35.40,
86,Jan 29 13:09:49 myth sshd[11967]: Invalid user sauv from ,220.195.35.40,
87,Jan 29 13:09:53 myth sshd[11969]: Invalid user eddie from ,220.195.35.40,
88,Jan 29 13:09:57 myth sshd[11971]: Invalid user folkert from ,220.195.35.40,
89,Jan 29 13:10:01 myth sshd[11973]: Invalid user beleaua from ,220.195.35.40,
90,Jan 29 13:10:03 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=35323 DF PROTO=TCP SPT=39828 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02662C0D0000000001030300) 
91,Jan 29 13:10:05 myth sshd[11975]: Invalid user public from ,220.195.35.40,
92,Jan 29 13:10:11 myth sshd[11977]: Invalid user sebestyen from ,220.195.35.40,
93,Jan 29 13:10:15 myth sshd[11979]: Invalid user tordai from ,220.195.35.40,
94,Jan 29 13:10:19 myth sshd[11981]: Invalid user filter from ,220.195.35.40,
95,Jan 29 13:10:22 myth sshd[11983]: Invalid user lady from ,220.195.35.40,
96,Jan 29 13:10:23 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=54753 DF PROTO=TCP SPT=53128 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A026634390000000001030300) 
97,Jan 29 13:10:26 myth sshd[11985]: Invalid user andrew from ,220.195.35.40,
98,Jan 29 13:10:31 myth sshd[11987]: Invalid user doomi from ,220.195.35.40,
99,Jan 29 13:10:35 myth sshd[11989]: Invalid user guma from ,220.195.35.40,
100,Jan 29 13:10:39 myth sshd[11991]: Invalid user ina from ,220.195.35.40,
101,Jan 29 13:10:40 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=59057 DF PROTO=TCP SPT=36977 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02663AC20000000001030300) 
102,Jan 29 13:10:43 myth sshd[11993]: Invalid user skid from ,220.195.35.40,
103,Jan 29 13:10:48 myth sshd[11995]: Invalid user spik from ,220.195.35.40,
104,Jan 29 13:10:53 myth sshd[11997]: Invalid user yarul from ,220.195.35.40,
105,Jan 29 13:10:57 myth sshd[11999]: Invalid user zako from ,220.195.35.40,
106,Jan 29 13:11:01 myth sshd[12001]: Invalid user adv from ,220.195.35.40,
